1|USA|New York
2|USA|Los Angeles
3|USA|Chicago
4|Canada|Toronto
5|Canada|Montreal
6|Canada|Vancouver
7|Japan|Tokyo
8|Japan|Osaka
9|China|Beijing
10|China|Shanghai
11|South Korea|Seoul
12|South Korea|Busan
13|France|Paris
14|France|Marseille
15|Spain|Madrid
16|Spain|Barcelona
17|Italy|Rome
18|Italy|Milan
19|Germany|Berlin
20|Germany|Munich
21|Serbia|Smederevo
22|Serbia|Belgrade
23|Serbia|Novi Sad
24|Serbia|Nis
25|Serbia|Kragujevac
26|Serbia|Krusevac
27|Serbia|Cacak
28|Serbia|Uzice
29|Belgrade|Serbia
23|Serbia|Novi Sad
24|Serbia|Nis
25|Serbia|Kragujevac
26|Serbia|Krusevac
27|Serbia|Cacak
28|Serbia|Uzice
29|Serbia|Valjevo
30|Serbia|Sabac
31|Serbia|Zrenjanin
32|Serbia|Subotica
33|Serbia|Sombor
34|Serbia|Pancevo
35|Serbia|Novi Pazar
36|Serbia|Leskovac
37|Serbia|Vranje
38|Serbia|Pirot
39|Serbia|Zajecar
40|Serbia|Bor
41|Serbia|Sremska Mitrovica
42|Serbia|Backa Palanka
43|Serbia|Nova Pazova
44|Australia|Sydney
45|Australia|Melbourne
46|Australia|Brisbane
47|New Zealand|Auckland
48|New Zealand|Wellington
49|New Zealand|Christchurch
50|England|London
51|England|Manchester
52|England|Birmingham
53|Scotland|Glasgow
54|Scotland|Edinburgh
55|Wales|Cardiff
56|Northern Ireland|Belfast
57|Ireland|Dublin
58|Ireland|Galway
59|France|Lyon
60|France|Toulouse
61|France|Bordeaux
62|Germany|Hamburg
63|Germany|Frankfurt
64|Germany|Cologne
65|Italy|Naples
66|Italy|Venice
67|Italy|Florence
68|Spain|Valencia
69|Spain|Seville
70|Spain|Malaga
71|Portugal|Lisbon
72|Portugal|Porto
73|Portugal|Funchal
74|Canada|Calgary
75|Canada|Ottawa
76|Canada|Quebec City
77|USA|Houston
78|USA|Philadelphia
79|USA|Phoenix
80|Mexico|Mexico City
81|Mexico|Cancun
82|Mexico|Guadalajara
83|Brazil|Sao Paulo
84|Brazil|Rio de Janeiro
85|Brazil|Brasilia
86|Argentina|Buenos Aires
87|Argentina|Mendoza
88|Argentina|Cordoba
89|Chile|Santiago
90|Chile|Valparaiso
91|Chile|Concepcion
92|Colombia|Bogota
93|Colombia|Medellin
94|Colombia|Cali
95|Peru|Lima
96|Hungary|Budapest
